ID,Name,Age,Photo,Nationality,Overall,Potential,Club,Club Logo,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Height,Weight,Release Clause,Kit Number
208574,F. Kostić,29,https://cdn.sofifa.net/players/208/574/23_60.png,Serbia,85,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€53M,€56K,Left,2,3,High/ High,184cm,84kg,€90.1M,10
231281,T. Alexander-Arnold,23,https://cdn.sofifa.net/players/231/281/23_60.png,England,87,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€100.5M,€150K,Right,4,3,High/ Medium,180cm,69kg,€193.5M,66
176580,L. Suárez,35,https://cdn.sofifa.net/players/176/580/23_60.png,Uruguay,84,84,Club Nacional de Football,https://cdn.sofifa.net/teams/111325/30.png,€18M,€1K,Right,4,3,High/ Medium,182cm,86kg,€39.6M,9
235212,A. Hakimi,23,https://cdn.sofifa.net/players/235/212/23_60.png,Morocco,84,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€53.5M,€90K,Right,4,4,High/ Medium,181cm,73kg,€103M,2
216352,M. Brozović,29,https://cdn.sofifa.net/players/216/352/23_60.png,Croatia,86,86,Inter,https://cdn.sofifa.net/teams/44/30.png,€58M,€110K,Right,4,3,Medium/ Medium,181cm,68kg,€95.7M,77
209331,M. Salah,30,https://cdn.sofifa.net/players/209/331/23_60.png,Egypt,90,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€115.5M,€270K,Left,3,4,High/ Medium,175cm,71kg,€213.7M,11
241096,S. Tonali,22,https://cdn.sofifa.net/players/241/096/23_60.png,Italy,84,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€62.5M,€75K,Right,4,3,Medium/ High,181cm,79kg,€118.8M,8
189509,Thiago,31,https://cdn.sofifa.net/players/189/509/23_60.png,Spain,86,86,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€55.5M,€180K,Right,3,5,Medium/ Medium,174cm,70kg,€102.7M,6
238074,R. James,22,https://cdn.sofifa.net/players/238/074/23_60.png,England,84,88,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€57M,€120K,Right,3,3,High/ Medium,178cm,87kg,€109.7M,24
189332,Jordi Alba,33,https://cdn.sofifa.net/players/189/332/23_60.png,Spain,85,85,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€28M,€190K,Left,3,3,High/ Medium,170cm,68kg,€57.4M,18
213565,T. Lemar,26,https://cdn.sofifa.net/players/213/565/23_60.png,France,83,86,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€47M,€74K,Left,3,4,High/ High,171cm,63kg,€99.9M,11
230767,Renato Sanches,24,https://cdn.sofifa.net/players/230/767/23_60.png,Portugal,80,86,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€33M,€72K,Right,4,4,High/ High,176cm,70kg,€67.7M,11
190286,Canales,31,https://cdn.sofifa.net/players/190/286/23_60.png,Spain,84,84,Real Betis Balompié,https://cdn.sofifa.net/teams/449/30.png,€35M,€42K,Left,3,4,High/ Medium,176cm,65kg,€73.5M,10
226754,I. Bennacer,24,https://cdn.sofifa.net/players/226/754/23_60.png,Algeria,82,86,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€40M,€63K,Left,3,4,High/ Medium,175cm,70kg,€71M,4
212462,Alex Telles,29,https://cdn.sofifa.net/players/212/462/23_60.png,Brazil,80,80,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€18.5M,€110K,Left,2,3,High/ Low,181cm,71kg,nan,3
231969,R. Malinovskyi,29,https://cdn.sofifa.net/players/231/969/23_60.png,Ukraine,82,82,Atalanta,https://cdn.sofifa.net/teams/39/30.png,€30.5M,€73K,Left,4,4,Medium/ Medium,181cm,79kg,€51.9M,18
238744,W. McKennie,23,https://cdn.sofifa.net/players/238/744/23_60.png,United States,80,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,€31.5M,€90K,Right,3,3,High/ High,183cm,84kg,€55.9M,14
200145,Casemiro,30,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,89,89,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€86M,€300K,Right,3,2,Medium/ High,185cm,84kg,€176.3M,14
220651,Angeliño,25,https://cdn.sofifa.net/players/220/651/23_60.png,Spain,83,85,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,€42M,€64K,Left,3,4,High/ High,171cm,69kg,nan,11
230938,F. Kessié,25,https://cdn.sofifa.net/players/230/938/23_60.png,Côte d'Ivoire,84,86,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€47.5M,€165K,Right,4,3,High/ High,183cm,88kg,€100.9M,19
200458,L. Digne,28,https://cdn.sofifa.net/players/200/458/23_60.png,France,82,82,Aston Villa,https://cdn.sofifa.net/teams/2/30.png,€27.5M,€100K,Left,2,3,High/ Medium,178cm,74kg,€52.3M,27
188545,R. Lewandowski,33,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,91,91,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€84M,€420K,Right,4,4,High/ Medium,185cm,81kg,€172.2M,9
181872,22 A. Vidal,34,https://cdn.sofifa.net/players/181/872/22_60.png,Chile,81,81,Inter,https://cdn.sofifa.net/teams/44/30.png,€12M,€105K,Right,4,3,High/ High,180cm,75kg,€20.4M,22
240699,N. De la Cruz,25,https://cdn.sofifa.net/players/240/699/23_60.png,Uruguay,78,79,River Plate,https://cdn.sofifa.net/teams/1876/30.png,€16.5M,€19K,Right,4,4,High/ High,167cm,65kg,€24.3M,11
232411,C. Nkunku,24,https://cdn.sofifa.net/players/232/411/23_60.png,France,86,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€94M,€90K,Right,3,5,High/ Medium,175cm,73kg,€166.9M,12
188377,K. Walker,32,https://cdn.sofifa.net/players/188/377/23_60.png,England,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€37.5M,€170K,Right,2,3,High/ High,183cm,83kg,€69.4M,2
232656,T. Hernández,24,https://cdn.sofifa.net/players/232/656/23_60.png,France,85,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€76M,€82K,Left,3,3,High/ Medium,184cm,81kg,€134.9M,19
186942,İ. Gündoğan,31,https://cdn.sofifa.net/players/186/942/23_60.png,Germany,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€44M,€185K,Right,4,4,High/ Medium,180cm,80kg,€81.4M,8
214097,B. Bourigeaud,28,https://cdn.sofifa.net/players/214/097/23_60.png,France,81,81,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,€26M,€66K,Right,3,3,High/ High,178cm,68kg,€49.4M,14
223697,R. Gosens,27,https://cdn.sofifa.net/players/223/697/23_60.png,Germany,82,82,Inter,https://cdn.sofifa.net/teams/44/30.png,€29.5M,€59K,Left,3,3,High/ Medium,183cm,76kg,nan,8
181291,G. Wijnaldum,31,https://cdn.sofifa.net/players/181/291/23_60.png,Netherlands,80,80,Roma,https://cdn.sofifa.net/teams/52/30.png,€17.5M,€83K,Right,4,3,High/ High,175cm,74kg,nan,25
219683,C. Tolisso,27,https://cdn.sofifa.net/players/219/683/23_60.png,France,81,81,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€27.5M,€75K,Right,3,3,High/ Medium,181cm,81kg,€52.3M,88
202126,H. Kane,28,https://cdn.sofifa.net/players/202/126/23_60.png,England,89,89,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,€105.5M,€240K,Right,5,3,High/ High,188cm,89kg,€200.5M,10
193747,Koke,30,https://cdn.sofifa.net/players/193/747/23_60.png,Spain,83,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€34.5M,€74K,Right,4,3,Medium/ Medium,176cm,77kg,€70.7M,6
195479,J. Tavernier,30,https://cdn.sofifa.net/players/195/479/23_60.png,England,78,78,Rangers FC,https://cdn.sofifa.net/teams/86/30.png,€12M,€51K,Right,3,3,High/ Medium,182cm,75kg,€21.6M,2
183711,J. Henderson,32,https://cdn.sofifa.net/players/183/711/23_60.png,England,83,83,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€28.5M,€135K,Right,3,3,High/ High,182cm,80kg,€52.7M,14
158023,L. Messi,35,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,91,91,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€54M,€195K,Left,4,4,Low/ Low,169cm,67kg,€99.9M,30
199556,M. Verratti,29,https://cdn.sofifa.net/players/199/556/23_60.png,Italy,87,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€77.5M,€155K,Right,4,4,Medium/ High,165cm,60kg,€143.4M,6
214047,M. Uribe,31,https://cdn.sofifa.net/players/214/047/23_60.png,Colombia,81,81,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€21M,€19K,Right,4,3,Medium/ High,183cm,77kg,€42M,8
239053,F. Valverde,23,https://cdn.sofifa.net/players/239/053/23_60.png,Uruguay,84,90,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€66M,€175K,Right,4,3,High/ High,182cm,78kg,€148.5M,15
208722,S. Mané,30,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,89,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€99.5M,€145K,Right,4,4,High/ Medium,174cm,69kg,€164.2M,17
205632,L. Ocampos,27,https://cdn.sofifa.net/players/205/632/23_60.png,Argentina,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€27.5M,€39K,Right,3,4,High/ High,188cm,84kg,€57.8M,5
233927,Lucas Paquetá,24,https://cdn.sofifa.net/players/233/927/23_60.png,Brazil,82,87,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,€46M,€70K,Left,4,5,High/ High,180cm,72kg,€90.9M,10
202648,Sergi Darder,28,https://cdn.sofifa.net/players/202/648/23_60.png,Spain,82,82,RCD Espanyol de Barcelona,https://cdn.sofifa.net/teams/452/30.png,€30.5M,€30K,Right,3,3,Medium/ Medium,180cm,71kg,€64.1M,10
216393,Y. Tielemans,25,https://cdn.sofifa.net/players/216/393/23_60.png,Belgium,84,86,Leicester City,https://cdn.sofifa.net/teams/95/30.png,€52.5M,€115K,Right,5,4,Medium/ Medium,176cm,72kg,€103.7M,8
209297,Fred,29,https://cdn.sofifa.net/players/209/297/23_60.png,Brazil,80,80,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€20.5M,€120K,Left,3,4,High/ High,169cm,62kg,€39M,17
218667,Bernardo Silva,27,https://cdn.sofifa.net/players/218/667/23_60.png,Portugal,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€97.5M,€260K,Left,3,4,High/ High,173cm,64kg,€180.4M,20
210035,Grimaldo,26,https://cdn.sofifa.net/players/210/035/23_60.png,Spain,82,85,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€36.5M,€19K,Left,2,3,High/ Medium,172cm,67kg,€75.7M,3
234153,Carlos Soler,25,https://cdn.sofifa.net/players/234/153/23_60.png,Spain,83,88,Valencia CF,https://cdn.sofifa.net/teams/461/30.png,€53M,€51K,Right,4,3,Medium/ Medium,180cm,76kg,€115.3M,10
224458,Diogo Jota,25,https://cdn.sofifa.net/players/224/458/23_60.png,Portugal,85,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€76M,€170K,Right,5,4,High/ High,178cm,73kg,€146.3M,20
252371,J. Bellingham,19,https://cdn.sofifa.net/players/252/371/23_60.png,England,84,91,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€81.5M,€41K,Right,4,4,High/ High,186cm,75kg,€154.9M,22
201455,G. Kondogbia,29,https://cdn.sofifa.net/players/201/455/23_60.png,Central African Republic,82,82,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€29.5M,€71K,Left,3,3,Medium/ High,188cm,80kg,€60.5M,4
186345,K. Trippier,31,https://cdn.sofifa.net/players/186/345/23_60.png,England,84,84,Newcastle United,https://cdn.sofifa.net/teams/13/30.png,€30.5M,€120K,Right,4,3,Medium/ Medium,173cm,71kg,€58M,2
173210,19 C. Marchisio,31,https://cdn.sofifa.net/players/173/210/19_60.png,Italy,84,84,Juventus,https://cdn.sofifa.net/teams/45/30.png,€19.5M,€130K,Right,4,3,High/ High,180cm,74kg,€32.2M,8
193283,T. Delaney,30,https://cdn.sofifa.net/players/193/283/23_60.png,Denmark,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€21.5M,€33K,Left,4,2,Low/ High,182cm,79kg,€45.2M,18
231747,K. Mbappé,23,https://cdn.sofifa.net/players/231/747/23_60.png,France,91,95,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€190.5M,€230K,Right,4,5,High/ Low,182cm,73kg,€366.7M,7
269765,S. Obisanya,22,https://cdn.sofifa.net/players/269/765/23_60.png,Nigeria,81,88,AFC Richmond,https://cdn.sofifa.net/teams/116418/30.png,€52.5M,€55K,Right,3,3,High/ High,185cm,77kg,€110.3M,24
183512,Yuri Berchiche,32,https://cdn.sofifa.net/players/183/512/23_60.png,Spain,82,82,Athletic Club de Bilbao,https://cdn.sofifa.net/teams/448/30.png,€21M,€35K,Left,3,3,High/ Medium,181cm,80kg,€44.1M,17
193165,J. Corona,29,https://cdn.sofifa.net/players/193/165/23_60.png,Mexico,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€25.5M,€40K,Right,5,5,Medium/ Medium,173cm,66kg,€53.6M,9
235008,L. Robertone,25,https://cdn.sofifa.net/players/235/008/23_60.png,Argentina,76,80,Unión Deportiva Almería,https://cdn.sofifa.net/teams/1861/30.png,€10.5M,€24K,Right,4,4,Medium/ High,175cm,70kg,€23.9M,5
204923,M. Sabitzer,28,https://cdn.sofifa.net/players/204/923/23_60.png,Austria,80,80,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€21M,€67K,Right,4,3,High/ High,178cm,76kg,€34.7M,18
208128,H. Çalhanoğlu,28,https://cdn.sofifa.net/players/208/128/23_60.png,Turkey,84,84,Inter,https://cdn.sofifa.net/teams/44/30.png,€42M,€100K,Right,4,4,High/ High,178cm,76kg,€69.3M,20
224293,Rúben Neves,25,https://cdn.sofifa.net/players/224/293/23_60.png,Portugal,83,86,Wolverhampton Wanderers,https://cdn.sofifa.net/teams/110/30.png,€47.5M,€105K,Right,4,3,Low/ High,180cm,80kg,€93.8M,8
173030,Ó. Trejo,34,https://cdn.sofifa.net/players/173/030/23_60.png,Argentina,79,79,Rayo Vallecano,https://cdn.sofifa.net/teams/480/30.png,€8M,€25K,Right,4,3,High/ Medium,180cm,79kg,€16.8M,8
211748,K. Demirbay,28,https://cdn.sofifa.net/players/211/748/23_60.png,Germany,81,81,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,€25.5M,€65K,Left,4,4,High/ Medium,183cm,71kg,€43.4M,10
209889,R. Guerreiro,28,https://cdn.sofifa.net/players/209/889/23_60.png,Portugal,82,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€27.5M,€57K,Left,2,4,High/ Low,170cm,71kg,€46.8M,13
234396,A. Davies,21,https://cdn.sofifa.net/players/234/396/23_60.png,Canada,84,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€60.5M,€59K,Left,4,4,High/ Low,185cm,77kg,€104.4M,19
172522,D. Wass,33,https://cdn.sofifa.net/players/172/522/23_60.png,Denmark,79,79,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€11M,€55K,Right,3,3,Medium/ Medium,181cm,74kg,€22.6M,24
240679,T. Koopmeiners,24,https://cdn.sofifa.net/players/240/679/23_60.png,Netherlands,80,84,Atalanta,https://cdn.sofifa.net/teams/39/30.png,€30M,€49K,Left,2,3,Medium/ Medium,183cm,77kg,€53.3M,7
201519,J. Veretout,29,https://cdn.sofifa.net/players/201/519/23_60.png,France,79,79,Olympique de Marseille,https://cdn.sofifa.net/teams/219/30.png,€15M,€42K,Right,3,3,Medium/ Medium,177cm,67kg,€28.5M,27
195864,P. Pogba,29,https://cdn.sofifa.net/players/195/864/23_60.png,France,85,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,€52.5M,€165K,Right,4,5,Medium/ Low,191cm,84kg,€89.3M,10
146536,Jesús Navas,36,https://cdn.sofifa.net/players/146/536/23_60.png,Spain,83,83,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€8M,€28K,Right,2,4,High/ Medium,172cm,60kg,€16.8M,16
210243,Ricardo Pereira,28,https://cdn.sofifa.net/players/210/243/23_60.png,Portugal,83,83,Leicester City,https://cdn.sofifa.net/teams/95/30.png,€33M,€105K,Right,4,3,High/ High,175cm,70kg,€62.7M,21
209499,Fabinho,28,https://cdn.sofifa.net/players/209/499/23_60.png,Brazil,87,88,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€77M,€185K,Right,2,3,Medium/ High,188cm,78kg,€148.2M,3
208421,Saúl,27,https://cdn.sofifa.net/players/208/421/23_60.png,Spain,80,81,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€24M,€58K,Left,4,3,Medium/ Medium,184cm,75kg,€51M,17
231478,L. Martínez,24,https://cdn.sofifa.net/players/231/478/23_60.png,Argentina,86,90,Inter,https://cdn.sofifa.net/teams/44/30.png,€98.5M,€110K,Right,4,4,High/ Medium,174cm,72kg,€169.9M,10
189513,Parejo,33,https://cdn.sofifa.net/players/189/513/23_60.png,Spain,86,86,Villarreal CF,https://cdn.sofifa.net/teams/483/30.png,€42M,€64K,Right,4,3,Medium/ Medium,182cm,74kg,€88.2M,5
226226,G. Lo Celso,26,https://cdn.sofifa.net/players/226/226/23_60.png,Argentina,81,83,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,€31.5M,€100K,Left,3,4,High/ Medium,177cm,68kg,€62.2M,18
201942,Roberto Firmino,30,https://cdn.sofifa.net/players/201/942/23_60.png,Brazil,83,83,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€35.5M,€150K,Right,4,5,High/ High,181cm,76kg,€65.7M,9
201389,C. Biraghi,29,https://cdn.sofifa.net/players/201/389/23_60.png,Italy,80,80,Fiorentina,https://cdn.sofifa.net/teams/110374/30.png,€18.5M,€58K,Left,3,3,Medium/ Medium,185cm,78kg,€31.5M,3
20801,Cristiano Ronaldo,37,https://cdn.sofifa.net/players/020/801/23_60.png,Portugal,90,90,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€41M,€220K,Right,4,5,High/ Low,187cm,83kg,€77.9M,7
228618,F. Mendy,27,https://cdn.sofifa.net/players/228/618/23_60.png,France,83,84,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€38M,€170K,Left,5,4,High/ High,180cm,73kg,€80.8M,23
190871,Neymar Jr,30,https://cdn.sofifa.net/players/190/871/23_60.png,Brazil,89,89,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€99.5M,€200K,Right,5,5,High/ Medium,175cm,68kg,€184.1M,10
173731,G. Bale,32,https://cdn.sofifa.net/players/173/731/23_60.png,Wales,81,81,Los Angeles FC,https://cdn.sofifa.net/teams/112996/30.png,€20.5M,€14K,Left,3,4,Medium/ Medium,185cm,82kg,€30.8M,11
212242,R. Andrich,27,https://cdn.sofifa.net/players/212/242/23_60.png,Germany,81,82,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,€26.5M,€57K,Right,4,3,High/ High,187cm,83kg,€47M,8
225375,K. Laimer,25,https://cdn.sofifa.net/players/225/375/23_60.png,Austria,83,84,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€38.5M,€64K,Right,3,3,Medium/ High,180cm,72kg,€68.3M,20
188350,M. Reus,33,https://cdn.sofifa.net/players/188/350/23_60.png,Germany,85,85,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€33.5M,€78K,Right,4,4,High/ Medium,180cm,71kg,€57M,11
206511,M. Arnold,28,https://cdn.sofifa.net/players/206/511/23_60.png,Germany,80,81,VfL Wolfsburg,https://cdn.sofifa.net/teams/175/30.png,€20.5M,€51K,Left,2,3,High/ Medium,184cm,74kg,€36.4M,27
215914,N. Kanté,31,https://cdn.sofifa.net/players/215/914/23_60.png,France,89,89,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€72M,€220K,Right,3,2,Medium/ High,168cm,70kg,€133.2M,7
216267,A. Robertson,28,https://cdn.sofifa.net/players/216/267/23_60.png,Scotland,87,87,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€72M,€185K,Left,2,3,High/ High,178cm,64kg,€133.2M,26
203551,A. Florenzi,31,https://cdn.sofifa.net/players/203/551/23_60.png,Italy,79,79,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€12.5M,€60K,Right,4,3,High/ Medium,173cm,67kg,€21.3M,25
13743,17 S. Gerrard,36,https://cdn.sofifa.net/players/013/743/17_60.png,England,81,81,LA Galaxy,https://cdn.sofifa.net/teams/697/30.png,€1.4M,€10K,Right,3,3,Medium/ Medium,183cm,83kg,nan,8
208418,Y. Carrasco,28,https://cdn.sofifa.net/players/208/418/23_60.png,Belgium,85,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€54.5M,€90K,Right,4,4,High/ High,185cm,73kg,€111.7M,21
212523,Anderson Talisca,28,https://cdn.sofifa.net/players/212/523/23_60.png,Brazil,82,82,Al Nassr,https://cdn.sofifa.net/teams/112139/30.png,€31M,€64K,Left,4,4,High/ Low,190cm,80kg,€52.7M,94
208618,Lucas Vázquez,31,https://cdn.sofifa.net/players/208/618/23_60.png,Spain,81,81,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€18.5M,€140K,Right,4,4,High/ Medium,173cm,70kg,€37.9M,17
188152,Oscar,30,https://cdn.sofifa.net/players/188/152/23_60.png,Brazil,81,81,Shanghai Port FC,https://cdn.sofifa.net/teams/112540/30.png,€25M,€28K,Right,3,4,High/ Medium,179cm,70kg,€38.8M,8
251573,Renan Lodi,24,https://cdn.sofifa.net/players/251/573/23_60.png,Brazil,80,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€29.5M,€46K,Left,3,4,High/ Medium,173cm,68kg,€62.7M,12
195272,M. Faraoni,30,https://cdn.sofifa.net/players/195/272/23_60.png,Italy,78,78,Hellas Verona,https://cdn.sofifa.net/teams/206/30.png,€12M,€27K,Right,4,3,High/ High,180cm,71kg,€20.4M,5
205686,T. Savanier,30,https://cdn.sofifa.net/players/205/686/23_60.png,France,81,81,Montpellier Hérault SC,https://cdn.sofifa.net/teams/70/30.png,€25M,€33K,Right,5,4,High/ Medium,172cm,69kg,€47.5M,11
212207,N. Stanciu,29,https://cdn.sofifa.net/players/212/207/23_60.png,Romania,79,79,Wuhan Three Towns,https://cdn.sofifa.net/teams/116361/30.png,€17M,€26K,Right,4,4,Medium/ Medium,170cm,63kg,€26.4M,43
